rowID	kmeans20	kmeans20_conf	rowName
64	4	0.168980	inputFiles/WOSCorpus(64)
81	4	0.153546	inputFiles/WOSCorpus(81)
89	4	0.189175	inputFiles/WOSCorpus(89)
97	4	0.241134	inputFiles/WOSCorpus(97)
98	4	0.174480	inputFiles/WOSCorpus(98)
99	4	0.170783	inputFiles/WOSCorpus(99)
105	4	0.100047	inputFiles/WOSCorpus(105)
109	4	0.110909	inputFiles/WOSCorpus(109)
110	4	0.044469	inputFiles/WOSCorpus(110)
121	4	0.198609	inputFiles/WOSCorpus(121)
153	4	0.114652	inputFiles/WOSCorpus(153)
158	4	0.275258	inputFiles/WOSCorpus(158)
171	4	0.199645	inputFiles/WOSCorpus(171)
186	4	0.132083	inputFiles/WOSCorpus(186)
191	4	0.254072	inputFiles/WOSCorpus(191)
192	4	0.288152	inputFiles/WOSCorpus(192)
222	4	0.226676	inputFiles/WOSCorpus(222)
235	4	0.116464	inputFiles/WOSCorpus(235)
253	4	0.073757	inputFiles/WOSCorpus(253)
256	4	0.239482	inputFiles/WOSCorpus(256)
260	4	0.234811	inputFiles/WOSCorpus(260)
261	4	0.062408	inputFiles/WOSCorpus(261)
269	4	0.108323	inputFiles/WOSCorpus(269)
273	4	0.066247	inputFiles/WOSCorpus(273)
318	4	0.245523	inputFiles/WOSCorpus(318)
322	4	0.108602	inputFiles/WOSCorpus(322)
327	4	0.056372	inputFiles/WOSCorpus(327)
328	4	0.138663	inputFiles/WOSCorpus(328)
421	4	0.145270	inputFiles/WOSCorpus(421)
429	4	0.272135	inputFiles/WOSCorpus(429)
454	4	0.213123	inputFiles/WOSCorpus(454)
463	4	0.080980	inputFiles/WOSCorpus(463)
475	4	0.048485	inputFiles/WOSCorpus(475)
480	4	0.217113	inputFiles/WOSCorpus(480)
486	4	0.287537	inputFiles/WOSCorpus(486)
489	4	0.237318	inputFiles/WOSCorpus(489)
494	4	0.280550	inputFiles/WOSCorpus(494)
499	4	0.220223	inputFiles/WOSCorpus(499)
518	4	0.233101	inputFiles/WOSCorpus(518)
524	4	0.193239	inputFiles/WOSCorpus(524)
531	4	0.110805	inputFiles/WOSCorpus(531)
545	4	0.250955	inputFiles/WOSCorpus(545)
547	4	0.150678	inputFiles/WOSCorpus(547)
552	4	0.148820	inputFiles/WOSCorpus(552)
558	4	0.191355	inputFiles/WOSCorpus(558)
579	4	0.112537	inputFiles/WOSCorpus(579)
584	4	0.166537	inputFiles/WOSCorpus(584)
591	4	0.088580	inputFiles/WOSCorpus(591)
597	4	0.191123	inputFiles/WOSCorpus(597)
628	4	0.145091	inputFiles/WOSCorpus(628)
632	4	0.122694	inputFiles/WOSCorpus(632)
642	4	0.284740	inputFiles/WOSCorpus(642)
654	4	0.194999	inputFiles/WOSCorpus(654)
740	4	0.169629	inputFiles/WOSCorpus(740)
761	4	0.163043	inputFiles/WOSCorpus(761)
785	4	0.075484	inputFiles/WOSCorpus(785)
788	4	0.116723	inputFiles/WOSCorpus(788)
858	4	0.173507	inputFiles/WOSCorpus(858)
865	4	0.195040	inputFiles/WOSCorpus(865)
871	4	0.077602	inputFiles/WOSCorpus(871)
883	4	0.056963	inputFiles/WOSCorpus(883)
887	4	0.191340	inputFiles/WOSCorpus(887)
890	4	0.323691	inputFiles/WOSCorpus(890)
891	4	0.135787	inputFiles/WOSCorpus(891)
897	4	0.269070	inputFiles/WOSCorpus(897)
909	4	0.071633	inputFiles/WOSCorpus(909)
913	4	0.184234	inputFiles/WOSCorpus(913)
933	4	0.097992	inputFiles/WOSCorpus(933)
945	4	0.167935	inputFiles/WOSCorpus(945)
946	4	0.171741	inputFiles/WOSCorpus(946)
972	4	0.246562	inputFiles/WOSCorpus(972)
45	5	0.269833	inputFiles/WOSCorpus(45)
57	5	0.196453	inputFiles/WOSCorpus(57)
107	5	0.103037	inputFiles/WOSCorpus(107)
108	5	0.206022	inputFiles/WOSCorpus(108)
128	5	0.205865	inputFiles/WOSCorpus(128)
129	5	0.209220	inputFiles/WOSCorpus(129)
142	5	0.118452	inputFiles/WOSCorpus(142)
161	5	0.200696	inputFiles/WOSCorpus(161)
165	5	0.192874	inputFiles/WOSCorpus(165)
172	5	0.230110	inputFiles/WOSCorpus(172)
184	5	0.233222	inputFiles/WOSCorpus(184)
203	5	0.229044	inputFiles/WOSCorpus(203)
210	5	0.091433	inputFiles/WOSCorpus(210)
214	5	0.293178	inputFiles/WOSCorpus(214)
237	5	0.170436	inputFiles/WOSCorpus(237)
337	5	0.206180	inputFiles/WOSCorpus(337)
356	5	0.065315	inputFiles/WOSCorpus(356)
376	5	0.168410	inputFiles/WOSCorpus(376)
382	5	0.174303	inputFiles/WOSCorpus(382)
492	5	0.099622	inputFiles/WOSCorpus(492)
526	5	0.137900	inputFiles/WOSCorpus(526)
596	5	0.291178	inputFiles/WOSCorpus(596)
615	5	0.116397	inputFiles/WOSCorpus(615)
623	5	0.217424	inputFiles/WOSCorpus(623)
661	5	0.107815	inputFiles/WOSCorpus(661)
683	5	0.136463	inputFiles/WOSCorpus(683)
701	5	0.132470	inputFiles/WOSCorpus(701)
749	5	0.200509	inputFiles/WOSCorpus(749)
750	5	0.255220	inputFiles/WOSCorpus(750)
808	5	0.306842	inputFiles/WOSCorpus(808)
830	5	0.240119	inputFiles/WOSCorpus(830)
835	5	0.237264	inputFiles/WOSCorpus(835)
845	5	0.110453	inputFiles/WOSCorpus(845)
852	5	0.099755	inputFiles/WOSCorpus(852)
854	5	0.292940	inputFiles/WOSCorpus(854)
910	5	0.205376	inputFiles/WOSCorpus(910)
931	5	0.190971	inputFiles/WOSCorpus(931)
14	6	0.264899	inputFiles/WOSCorpus(14)
30	6	0.220643	inputFiles/WOSCorpus(30)
32	6	0.134081	inputFiles/WOSCorpus(32)
36	6	0.187589	inputFiles/WOSCorpus(36)
47	6	0.235365	inputFiles/WOSCorpus(47)
79	6	0.126740	inputFiles/WOSCorpus(79)
90	6	0.086690	inputFiles/WOSCorpus(90)
130	6	0.268365	inputFiles/WOSCorpus(130)
173	6	0.289834	inputFiles/WOSCorpus(173)
198	6	0.158799	inputFiles/WOSCorpus(198)
199	6	0.189185	inputFiles/WOSCorpus(199)
215	6	0.216272	inputFiles/WOSCorpus(215)
217	6	0.287689	inputFiles/WOSCorpus(217)
249	6	0.124166	inputFiles/WOSCorpus(249)
293	6	0.110750	inputFiles/WOSCorpus(293)
294	6	0.317354	inputFiles/WOSCorpus(294)
298	6	0.249540	inputFiles/WOSCorpus(298)
300	6	0.257432	inputFiles/WOSCorpus(300)
313	6	0.292304	inputFiles/WOSCorpus(313)
330	6	0.242741	inputFiles/WOSCorpus(330)
338	6	0.183858	inputFiles/WOSCorpus(338)
345	6	0.283510	inputFiles/WOSCorpus(345)
360	6	0.158017	inputFiles/WOSCorpus(360)
362	6	0.280849	inputFiles/WOSCorpus(362)
379	6	0.205363	inputFiles/WOSCorpus(379)
427	6	0.119305	inputFiles/WOSCorpus(427)
428	6	0.214212	inputFiles/WOSCorpus(428)
430	6	0.218300	inputFiles/WOSCorpus(430)
479	6	0.251653	inputFiles/WOSCorpus(479)
484	6	0.212688	inputFiles/WOSCorpus(484)
501	6	0.245439	inputFiles/WOSCorpus(501)
520	6	0.080072	inputFiles/WOSCorpus(520)
522	6	0.186725	inputFiles/WOSCorpus(522)
536	6	0.279108	inputFiles/WOSCorpus(536)
538	6	0.264750	inputFiles/WOSCorpus(538)
561	6	0.202220	inputFiles/WOSCorpus(561)
569	6	0.200364	inputFiles/WOSCorpus(569)
636	6	0.185153	inputFiles/WOSCorpus(636)
669	6	0.099455	inputFiles/WOSCorpus(669)
726	6	0.139552	inputFiles/WOSCorpus(726)
734	6	0.130716	inputFiles/WOSCorpus(734)
738	6	0.267248	inputFiles/WOSCorpus(738)
764	6	0.096693	inputFiles/WOSCorpus(764)
767	6	0.321473	inputFiles/WOSCorpus(767)
876	6	0.103857	inputFiles/WOSCorpus(876)
918	6	0.267089	inputFiles/WOSCorpus(918)
