16-Sep-2012 14:24:01
1630	17588	2
1638	28769	2
1639	35081	1
164	27531	1
1640	18810	1
1643	44871	1
164333	15709	1
1645	24573	1
165	27665	3
1650	20841	1
16500	24265	1
1651	36627	2
166	10124	6
167	17499	3
1670	44814	2
167000	27572	1
1672	5603	3
16720	24155	1
168	43732	3
168000	44641	1
1686	21896	1
1690	24479	1
16923	24156	1
16928	26895	1
1699	44421	1
17	695	277
170	5604	10
1700	14580	22
17000	12891	16
170000	41034	2
1701	36628	1
1702	10751	6
1703	36629	1
1704	44872	1
171	28504	6
17100	35225	2
17137	43637	2
1715	24574	1
1717	36630	2
172	44106	1
1721	4930	1
1727	44943	1
172800	37321	2
173	28505	7
1730	43604	1
173000	46014	1
1732	36631	2
1733	17003	2
174	39568	2
1748	34326	1
175	24638	9
1750	30184	3
175000	16906	2
1755	43565	1
176	28506	3
1760	17840	6
17600	983	1
1765	30669	1
1767	39768	1
1768	17841	2
177	7487	2
1770	7463	5
1776	17589	4
1777	36632	2
1778	44628	1
178	3788	5
1783	45781	2
1786	42728	1
1787	34293	1
1789	44208	1
1790	31544	2
1791	30670	2
1792	31599	5
1794	33751	1
1795	36633	2
18	1709	295
180	25870	16
1800	1333	22
18000	984	11
180000	10904	6
1801	40339	1
1804	30671	1
1808	45782	1
1809	5129	2
181	27532	3
1810	27443	1
181000	12377	2
1812	30305	6
1814	27479	1
1815	27480	1
181504	12378	2
1816	29897	4
1819	7231	2
18199	30942	4
182500	41312	2
1826	45783	1
183	13006	2
1830	31545	1
1837	28622	1
184	6376	3
1840	33918	2
1842	43605	1
1845	20494	2
1847	30408	5
1849	36634	3
185	3681	11
1850	7733	15
185000	9249	2
1856	25602	3
1857	25536	5
186	26309	3
1860	5605	4
186000	37228	1
1861	19836	8
1862	24541	1
1863	19614	3
1864	41974	1
1865	8962	3
187	34082	3
1870	35136	1
187000	35163	2
1871	31792	3
1872	16383	8
1874	42368	1
1875	27643	1
1877	15677	2
1878	10477	1
1879	33752	1
188	1247	5
1880	13938	13
1881	42968	1
1882	40100	2
1883	29725	1
1884	5606	1
1885	40485	1
1887	6377	2
1888	17842	2
1889	20201	2
189	10125	3
1890	17843	4
18900	39769	1
1891	43290	1
1892	29098	1
1893	2926	7
1895	19819	1
1896	39189	2
19	5480	200
190	25725	23
1900	6066	19
19000	32861	1
190000	39190	1
1901	34083	1
1902	10478	2
1903	40486	3
1906	16125	8
1908	25537	1
191	26107	2
1910	19231	5
